id,view,source_group,role,feature_status,s16_feature_status,s8_feature_status,d_feature_status,r_feature_status,p_feature_status,published_original_path,published_original_revision
ai_acestep_muse_cn_suno_cn_002516_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002551_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002585_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_002619_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002660_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002718_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_002840_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_002958_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003042_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003067_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003122_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003137_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_003251_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003275_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003278_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003299_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003559_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003766_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003884_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_003983_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_004044_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_004068_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_004138_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_004405_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_004485_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_004770_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_004806_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_004936_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005005_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005164_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005322_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005324_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005351_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_005457_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005459_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005537_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005597_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005832_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005841_1,30s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005844_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005879_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_005897_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006023_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006047_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_006115_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006140_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006142_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006204_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006375_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_006670_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_006851_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_006985_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_007242_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_007250_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_007265_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_007401_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_007503_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_007831_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_007990_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_008284_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_008333_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_008405_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_008426_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_008528_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_008555_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_008586_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_008777_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_008836_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_008947_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_009034_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_009181_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_009437_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_009521_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_009697_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_009859_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010060_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010120_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_010125_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010422_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_010426_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010468_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010720_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_010769_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010854_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_010922_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_010968_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_010976_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011062_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011091_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011121_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_011204_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011299_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011498_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_011565_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_011610_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_011638_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_011839_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011869_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_011912_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_012107_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_012177_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_012421_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_012498_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_012526_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_012705_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_012899_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_012967_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_013167_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_013206_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_013209_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_013405_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_013420_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_013730_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_013771_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_013851_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014281_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014378_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014403_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_014516_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_014692_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014722_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014780_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014859_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_014976_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_015082_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_015187_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_015622_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_015652_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_015840_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_015869_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_015906_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_016011_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_016186_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_016201_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_016541_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_016564_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_016867_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_017217_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017249_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_017255_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017343_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_017373_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_017486_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_017531_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017627_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017645_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017780_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017803_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017832_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_017956_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_017992_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_018057_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_018338_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_018558_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_018563_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_018634_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_018713_0,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_018814_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_019033_1,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
ai_acestep_muse_cn_suno_cn_019040_1,30s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_019084_0,30s,ACE-Step,development,complete,computed,computed,eligible,eligible,eligible,,
