id,label,source_group,source_revision,source_locator,container_member,source_sha256,source_bytes,native_sample_rate_hz,native_duration_s,historical_role,acquisition_role,group_id,artist_or_creator_recorded,title_recorded,license_recorded,evaluation_allowed_recorded,provenance_grade,source_notes
human_mtt_042563,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,e/c_layne-the_sun_will_come_out_to_blind_you-10-everybodys_going_underground-0-29.mp3,ab69fe15aa553f4342e12cc92f2c0ae34df9357f2deff4884c000e4f16248fa4,117250,16000,29.156,development,development,human_magnatagatune:creator:C Layne,C Layne,Everybody's Going Underground,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_028852,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,2/indidginus-seismic-06-semonkong_place_of_smoke-233-262.mp3,9b1f1ccd27fa5ff7eaad586dae68ce60ead54ca2d66d2eb122381f0d208fbfc3,117231,16000,29.156,development,development,human_magnatagatune:creator:Indidginus,Indidginus,Semonkong (Place of smoke),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_013051,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/jackalopes-jacksploitation-03-frankenstein_girl-117-146.mp3,68429bfe8ab768ce97efb6ebdf6f65d62a3e0994048423e41f70ffcafb7de3d4,117233,16000,29.156,development,development,human_magnatagatune:creator:Jackalopes,Jackalopes,Frankenstein girl,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_012138,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,4/dj_cary-downtempo_chill_2-03-choice_curl-59-88.mp3,b2387756253373aa8d18e76e6a1cca337f83e71fd44a4542d27e8fc1a4c7bc97,117225,16000,29.156,development,development,human_magnatagatune:creator:DJ Cary,DJ Cary,Choice (Curl),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_032023,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,e/magnatune_com-magnatune_at_the_cc_salon-07-lagoon_artemis-349-378.mp3,9438a1235deb4ba8d7aa0c6d76a015009daab1800d9534ebbf7b3e1baad9b4db,117236,16000,29.156,development,development,human_magnatagatune:creator:Magnatune.com,Magnatune.com,Lagoon (Artemis),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_006369,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,2/magnatune_remixed-ridin_the_faders_2-02-brilliant_daze_days_are_confused_mix__pat_chilla-146-175.mp3,51e995f6a9c1ebfc4ba80ce40748fa9d93f9dc32ccba6fba138479000ec292d6,117278,16000,29.156,development,development,human_magnatagatune:creator:Magnatune Remixed,Magnatune Remixed,Brilliant Daze (Days Are Confused Mix) - Pat Chilla,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_055281,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,a/edward_martin_and_william_bastian-virtues_and_vices-18-petit_sein_ou_lamour_francois_le_fegeux-59-88.mp3,a266705bfb424254c6ede093b9c43f1bc1117a2d06072ed4c191698f8f63a95b,117275,16000,29.156,development,development,human_magnatagatune:creator:Edward Martin and William Bastian,Edward Martin and William Bastian,Petit sein ou L'Amour (Francois le Fegeux),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_027674,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/lizzi-love_and_you_and_i-06-lay_down-88-117.mp3,2140b651488a1d4fa5a422aaa69a456036d303bbcbe8d65817e3aa5d3125e328,117210,16000,29.156,development,development,human_magnatagatune:creator:Lizzi,Lizzi,Lay down,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_048546,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,9/various_artists-the_2007_magnatune_records_sampler-12-oui_mossieur_chuibelle_dr_kuch-262-291.mp3,00ae8e6de559d1a462dbdd0c6979702356b30e873de4da41014e7d4265f39f44,117268,16000,29.156,development,development,human_magnatagatune:creator:Various Artists,Various Artists,Oui Mossieur Chuibelle (Dr Kuch),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_039694,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,b/cargo_cult-alchemy-09-jazzmine-59-88.mp3,822b2d6693e4501f243a98fc9bbe6aef1dad7bfb6911d029a2cbf5540ceff2e8,117206,16000,29.156,development,development,human_magnatagatune:creator:Cargo Cult,Cargo Cult,Jazzmine,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_034945,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,2/shira_kammen-the_almanac-08-ce_moys_de_may-30-59.mp3,a885e33af4e0789084d5fbde30616a3be4f3bb106db15eb7bf5cd385e15ba63a,117218,16000,29.156,development,development,human_magnatagatune:creator:Shira Kammen,Shira Kammen,Ce Moys de May,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_000188,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/pain_factor-8_seconds-01-8_seconds-175-204.mp3,9a357f498c11382afce4abf04cdb5edb2a66f287659a5681f543553660a42e61,117215,16000,29.156,development,development,human_magnatagatune:creator:Pain Factor,Pain Factor,8 seconds,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_044519,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,3/c__layne-potemkin_villages-10-the_devil_and_the_woman-175-204.mp3,aeb18e07c21e4f632815111cd39015a617f685600413e7a5d71135d424e298bc,117233,16000,29.156,development,development,human_magnatagatune:creator:C. Layne,C. Layne,The devil and the woman,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_011277,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/the_headroom_project-jetuton_andawai-03-jetuton_andawai-146-175.mp3,b9a06109a9ac5c615b8cabd3230a5c45bdc4bfa190998ae9b97084cec3fdcf54,117238,16000,29.156,development,development,human_magnatagatune:creator:The Headroom Project,The Headroom Project,-Jetuton Andawai-,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_049340,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,8/magnatune-red_hat_summit_compilation-12-william_brooks__the_gift-30-59.mp3,898ffb9586455ef221b006bd0c1d0b62b012cb40019d04c17629e205808273cc,117244,16000,29.156,development,development,human_magnatagatune:creator:Magnatune,Magnatune,William Brooks - The Gift,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_027325,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,9/the_seldon_plan-making_circles-06-holding_patterns_are_slow-146-175.mp3,3fcc206102ad5513199063bb3374b306663abcb71a09721ebc984d9de3f891ec,117238,16000,29.156,development,development,human_magnatagatune:creator:The Seldon Plan,The Seldon Plan,Holding Patterns Are Slow,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_009071,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,a/ensemble_sreteniye-ancient_church_singing_of_byzantine_georgia_and_rus-02-psalm_146_and_o_thou_the_only_begotten_son-117-146.mp3,bfd274593b5759153eeabea4c2ac42253dc6dddf1fccfe0847fc470b961e050c,117298,16000,29.156,development,development,human_magnatagatune:creator:Ensemble Sreteniye,Ensemble Sreteniye,Psalm 146 and O Thou the Only Begotten Son,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_055269,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,4/st__eliyah_childrens_choir-we_are_guarded_by_the_cross-18-o_my_jesus_the_most_gracious_one-59-88.mp3,943d5db6e367703be1bbf75e79b0df7ca3119f22a0083aa2d49940b93452eb46,117267,16000,29.156,development,development,human_magnatagatune:creator:St. Eliyah Childrens Choir,St. Eliyah Childrens Choir,O my Jesus the most Gracious One,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_054329,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,9/the_sarasa_ensemble-a_baroque_mosaic-17-cantata_il_delirio_amoroso__recitativo_handel-30-59.mp3,93cee5659a4a45d05b902486c3648013e327e1d207cd5239a9c91538c57e20d1,117201,16000,29.156,development,development,human_magnatagatune:creator:The Sarasa Ensemble,The Sarasa Ensemble,Cantata Il Delirio Amoroso - Recitativo (Handel),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_001680,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,6/dr_kuch-analog_disease-01-forbidden_beat-146-175.mp3,d21e7db01ac63c78a70df0023c38f8273edf10f2f6bb10dd33aef79fb2a220f6,117219,16000,29.156,development,development,human_magnatagatune:creator:Dr Kuch,Dr Kuch,Forbidden Beat,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_056066,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,b/la_primavera-english_renaissance_music-19-tobacco_hume-59-88.mp3,4fea42e96ffb6fcdc7f6f9901e016d5741281d7a25acbd291d35f7e69b599dbc,117236,16000,29.156,development,development,human_magnatagatune:creator:La Primavera,La Primavera,Tobacco (Hume),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_026255,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,4/orinda-airs_de_cour-06-cesses_mortels_de_soupirer_pierre_guedron-88-117.mp3,9e86895c421f2eef49fb55a918153f2041b5ad2c3ff673f0b776ff0bff0b040d,117241,16000,29.156,development,development,human_magnatagatune:creator:Orinda,Orinda,Cesses mortels de soupirer (Pierre Guedron),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_026338,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,a/somadrone-trancelucent-06-coda-262-291.mp3,e31ed1d1f6bf02f0ade11c56af1234c686370b7c8c3b59cdeb44367db86079aa,117211,16000,29.156,development,development,human_magnatagatune:creator:Somadrone,Somadrone,Coda,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_020497,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,e/atomic_opera-penguin_dust-04-thirst-175-204.mp3,6dabf75c9151d807b7fa92c92ac47abb177cce346b44638e68edb332c33cce5e,117214,16000,29.156,development,development,human_magnatagatune:creator:Atomic Opera,Atomic Opera,Thirst,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_058063,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,7/jeni_melia-the_last_of_old_england-26-gartan_mothers_lullaby_trad-30-59.mp3,1ff03a7774522cfa6ba97c4cef4eb421edf3703176bf92a2b6dccb8771f616ed,117249,16000,29.156,development,development,human_magnatagatune:creator:Jeni Melia,Jeni Melia,Gartan mother's lullaby (trad),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_017624,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,1/mijo-fata_morgana-04-fata_morgana-0-29.mp3,a3b4c30ff98e38acd06d571c9304d6f2f5de4ea5dcb743856915958e57fa2715,117204,16000,29.156,development,development,human_magnatagatune:creator:Mijo,Mijo,Fata Morgana,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_012595,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/kyiv_chamber_choir-masterpieces_of_the_ukrainian_choral_baroque-03-do_not_forsake_me-378-407.mp3,71007da13cd276ec48ab3d59005be6ea87a0a47a54d8864ef1e3d45ec701077a,117273,16000,29.156,development,development,human_magnatagatune:creator:Kyiv Chamber Choir,Kyiv Chamber Choir,Do not forsake me,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_018101,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,e/sun_palace-into_heaven-04-in_somebodys_eyes-146-175.mp3,bb295354d080adfde89dd3888a76e03fc20637d4beed2350a3b7feb2d42f50c6,117226,16000,29.156,development,development,human_magnatagatune:creator:Sun Palace,Sun Palace,In Somebody's Eyes,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_022014,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,8/daniel_berkman-calabashmoon-05-daydream_in_dakar-117-146.mp3,477218dfaaf75f1b9a1d8ee3ad6b976c7b00606b6576e7c5527317460b224afc,117229,16000,29.156,development,development,human_magnatagatune:creator:Daniel Berkman,Daniel Berkman,daydream in dakar,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_010038,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,6/paul_beier-michelagnolo_galilei-02-sonate_in_c_major_toccata_volta_volta-204-233.mp3,774d0c09a543224a6bfad1ac2464402b647bf7cde8f992f0819977c549ffa3b1,117251,16000,29.156,development,development,human_magnatagatune:creator:Paul Beier,Paul Beier,Sonate in C major_ Toccata Volta Volta,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_018017,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,2/roots_of_rebellion-surfacing-04-i_am-146-175.mp3,6fc7d081ab02ff59be419ed5bc9808b370c257d24684e78beaad2ecaf8fe3d3c,117221,16000,29.156,development,development,human_magnatagatune:creator:Roots of Rebellion,Roots of Rebellion,I Am,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_015862,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,a/kitka-nectar-03-tsintsharo_georgia-59-88.mp3,f152a65d503d70e76dbab1ab224398a1b739183d56643b4e3a9d1cde40c6930e,117211,16000,29.156,development,development,human_magnatagatune:creator:Kitka,Kitka,Tsintsharo (Georgia),CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_039562,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,8/hybris-the_first_words-09-if_we_descended-233-262.mp3,da30cd922bfd728cf3b5fd8487c17a8fc2e50dc4121bec78096e29898eb32af1,117218,16000,29.156,development,development,human_magnatagatune:creator:Hybris,Hybris,If We Descended,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_048630,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,f/the_napoleon_blown_aparts-thrill_hype-12-poppin_pills-59-88.mp3,595466d899becf1f76d0df204c30245230d096e268777e231502875866619929,117238,16000,29.156,development,development,human_magnatagatune:creator:The Napoleon Blown Aparts,The Napoleon Blown Aparts,Poppin pills,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_018167,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,a/rhonda_lorence-winter_moon-04-inward_bound-146-175.mp3,94a076bb1b41180fd5d0e304265db458b6d3bed8877ec9d4896f56fed2310cf0,117221,16000,29.156,development,development,human_magnatagatune:creator:Rhonda Lorence,Rhonda Lorence,Inward Bound,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
human_mtt_050592,0,human_magnatagatune,042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd,hf://datasets/confit/magnatagatune@042e24c2c26a71168dd35edc3bc0cb47b2f3c3cd/mp3.zip,0/the_bots-truth-13-smoky_on_da_mic-59-88.mp3,00d7b98be0bf45b82ec1786630f3b7e6ea2d215b58b50ab5e73471ccb873df18,117206,16000,29.156,development,development,human_magnatagatune:creator:The Bots,The Bots,Smoky On Da Mic,CC BY-NC-SA (Magnatune research use),yes,A-,artist-balanced; one excerpt per original track; vocal stratum
