id,label,source_group,role,group_id,component_id,duration_view_s,native_sample_rate_hz,input_sha256
ai_acestep_muse_cn_suno_cn_000955_0,1,ACE-Step,development,muse:suno_cn_000955,component_000014,30,48000,248dc3e34b39828c78bd0f68c431b5fbaa52d7790ad93688c828cea82d103d70
ai_acestep_muse_cn_suno_cn_001149_0,1,ACE-Step,development,muse:suno_cn_001149,component_000016,30,48000,5a6cbb36d08f07f5456f8ca628fff33a98a17b2b485c763da3e68bf85905cc8e
ai_acestep_muse_cn_suno_cn_001191_0,1,ACE-Step,development,muse:suno_cn_001191,component_000017,30,48000,3215e4d765df291bd3362d1383a78cdde62b63cdcc658e4fab4ed5310658ebc9
ai_acestep_muse_cn_suno_cn_001270_0,1,ACE-Step,development,muse:suno_cn_001270,component_000019,30,48000,722028d23f538e0581a31f999ce7387ce2ef6623aad60ff4b499a69d776793db
ai_acestep_muse_cn_suno_cn_001353_1,1,ACE-Step,development,muse:suno_cn_001353,component_000020,30,48000,adf0a9df5f20f724900bee949d450b69d4a4f1a9952c051878a6027335945df1
ai_acestep_muse_cn_suno_cn_001668_0,1,ACE-Step,development,muse:suno_cn_001668,component_000021,30,48000,3cb95b6b4167acbcff82967b27b36231a471d6be020d4471c8ce63218bb31bcd
ai_acestep_muse_cn_suno_cn_001690_1,1,ACE-Step,development,muse:suno_cn_001690,component_000022,30,48000,31dafa872b591dc3d054434f9b5ecf4d98af5f403d9246c82ece0642db5eecd0
ai_acestep_muse_cn_suno_cn_001808_0,1,ACE-Step,development,muse:suno_cn_001808,component_000023,30,48000,5384e2aeef25f89690ec9e61b4e48052d88fdb1fbf46b9369339296fefac45ad
ai_acestep_muse_cn_suno_cn_002120_0,1,ACE-Step,development,muse:suno_cn_002120,component_000025,30,48000,2486a1b4d2c2d3fa41b7ec9decbe24081dbd479e734e17d285b54ab23ff13812
ai_acestep_muse_cn_suno_cn_002130_1,1,ACE-Step,development,muse:suno_cn_002130,component_000026,30,48000,dd71111e10cadc2d0f94312a74475a5edc227eb9c9e7bf9d0e5e09d7c32c9495
ai_acestep_muse_cn_suno_cn_002202_0,1,ACE-Step,development,muse:suno_cn_002202,component_000027,30,48000,d79476fecf9ea78e5a802471283ce77612c02c56fbbf83422bf2e11de74e2100
ai_acestep_muse_cn_suno_cn_002228_0,1,ACE-Step,development,muse:suno_cn_002228,component_000028,30,48000,233cb49d31ab6a056070a15147f0ba7781232043c3529ca7fe835d7b28164a1b
ai_acestep_muse_cn_suno_cn_002440_1,1,ACE-Step,development,muse:suno_cn_002440,component_000029,30,48000,2b190bb276a5e3ca8748d60cccd7d1ea5370be31f531838bfb04e034f666d644
ai_acestep_muse_cn_suno_cn_002516_1,1,ACE-Step,development,muse:suno_cn_002516,component_000030,30,48000,59bf815fce54a555981e0335fc6020c1fca1229cb0049891e0a30ae1def7ab68
ai_acestep_muse_cn_suno_cn_002551_0,1,ACE-Step,development,muse:suno_cn_002551,component_000031,30,48000,c758f50ed6f64d8f4b6c4fb9a1abdbd61cb7385d85c7a596f37f15f90eb20679
ai_acestep_muse_cn_suno_cn_002585_1,1,ACE-Step,development,muse:suno_cn_002585,component_000032,30,48000,28cf8af87f752e6d1a918715b1eb23507813411e90e2e3c381136f96ff5be31d
ai_acestep_muse_cn_suno_cn_002619_1,1,ACE-Step,development,muse:suno_cn_002619,component_000033,30,48000,fa63a2d79819aab9ab85bf21213c3d284cd1f6191f90b5d3ce0462abd6dc6987
ai_acestep_muse_cn_suno_cn_002660_0,1,ACE-Step,development,muse:suno_cn_002660,component_000034,30,48000,bbfda2daf075f432d51481a1e3430c2954712ad16c89a6ebe055c99ba163d22f
ai_acestep_muse_cn_suno_cn_002718_0,1,ACE-Step,development,muse:suno_cn_002718,component_000035,30,48000,f21ef0e156f40389b83861e08c926fd4798febb7c07eba9b87e290c08f78d924
ai_acestep_muse_cn_suno_cn_002840_0,1,ACE-Step,development,muse:suno_cn_002840,component_000036,30,48000,f148729b2c39c3ff2440af912ce25f6ae698216a9cc91684855fb781219e5241
ai_acestep_muse_cn_suno_cn_002958_0,1,ACE-Step,development,muse:suno_cn_002958,component_000037,30,48000,96b0ec4e87075ae42e7491b27460221545d80a522d2d65021f8b57dd50e8a1b4
ai_acestep_muse_cn_suno_cn_003042_0,1,ACE-Step,development,muse:suno_cn_003042,component_000038,30,48000,54a6366bfa0b706fca0485271f77810eae83ac38a65172c106b5cd7e0cde6be5
ai_acestep_muse_cn_suno_cn_003067_1,1,ACE-Step,development,muse:suno_cn_003067,component_000039,30,48000,36934e655b10e6e719b58d17a39d707dc72989a211276ef07021998d30314490
ai_acestep_muse_cn_suno_cn_003137_1,1,ACE-Step,development,muse:suno_cn_003137,component_000041,30,48000,6e7ff97dc3553e2e97a872e0a756cea9bac5d3380bb3478ab16ae036548ee841
ai_acestep_muse_cn_suno_cn_003251_0,1,ACE-Step,development,muse:suno_cn_003251,component_000042,30,48000,95e44fafe7e3e26371cc3cd4f2b7eaf7b86fc208c41c180c2d64556f0989e174
ai_acestep_muse_cn_suno_cn_003275_1,1,ACE-Step,development,muse:suno_cn_003275,component_000043,30,48000,d2c9882cb72db2206bb33aeae7344b29d2f7233075157433b8aac4ab56ccfe21
ai_acestep_muse_cn_suno_cn_003278_1,1,ACE-Step,development,muse:suno_cn_003278,component_000044,30,48000,0ccfef83586147559573fe68b3d02cfb82a5877d0a03405f276e03bb4ab12efb
ai_acestep_muse_cn_suno_cn_003299_0,1,ACE-Step,development,muse:suno_cn_003299,component_000045,30,48000,74eabdcc708fe37d911c8d313b0110fb3cb761d858d9895ce81d96aebeb69f59
ai_acestep_muse_cn_suno_cn_003559_0,1,ACE-Step,development,muse:suno_cn_003559,component_000046,30,48000,85db61e40de939523b5858991a0122f8203c950ab17cdeede13ca23e83514adc
ai_acestep_muse_cn_suno_cn_003766_1,1,ACE-Step,development,muse:suno_cn_003766,component_000047,30,48000,482d664ea9a0ce43619855d51226a1cc771b6da765ec8de667497ef05197cd03
ai_acestep_muse_cn_suno_cn_003884_0,1,ACE-Step,development,muse:suno_cn_003884,component_000048,30,48000,3acde8116f7a22e76fcd9da167099f74423a5b89351504e0eb116929b09ae1c0
ai_acestep_muse_cn_suno_cn_003983_0,1,ACE-Step,development,muse:suno_cn_003983,component_000049,30,48000,46cd44f145e21b7f0a2bfc54fc2e8d1cab7e15547b3e57f75aacfcb9899c7388
ai_acestep_muse_cn_suno_cn_004044_0,1,ACE-Step,development,muse:suno_cn_004044,component_000050,30,48000,eb43ed88c30189655117fcfa627c5114329fd8b2e3e9257e53211438824238eb
ai_acestep_muse_cn_suno_cn_004068_1,1,ACE-Step,development,muse:suno_cn_004068,component_000051,30,48000,faa9ac705b35d0ac25898e8b9ca9df64d0f042090eaf1fae1a654a0fd3c57553
ai_acestep_muse_cn_suno_cn_004138_0,1,ACE-Step,development,muse:suno_cn_004138,component_000052,30,48000,38f466065abc2f142d1d376656113efa951917115439035a6ac80a910144fdf7
ai_acestep_muse_cn_suno_cn_004405_1,1,ACE-Step,development,muse:suno_cn_004405,component_000053,30,48000,fa07b0d814da7e497961a69e6832de3f15290e8b92ef3c6fcb710db4576be881
ai_acestep_muse_cn_suno_cn_004485_1,1,ACE-Step,development,muse:suno_cn_004485,component_000054,30,48000,1296f1af9900bd0d03c0a0eaaeb810e5c4e8fda0259542c1b458e3dc82358682
ai_acestep_muse_cn_suno_cn_004770_0,1,ACE-Step,development,muse:suno_cn_004770,component_000055,30,48000,4c4a72e13d22279a6992f1de2393c43973a8153c29afd214888b592453cb8b20
ai_acestep_muse_cn_suno_cn_004806_1,1,ACE-Step,development,muse:suno_cn_004806,component_000056,30,48000,ba19246e9bafccd229ab77cd1ebd358860fca8aa3b13e7ff3e910dfbd974deb3
ai_acestep_muse_cn_suno_cn_004936_1,1,ACE-Step,development,muse:suno_cn_004936,component_000057,30,48000,3feff8698af67eaebf0ba2a743306629edb3dccc0c8054ee08d7d913867c4296
ai_acestep_muse_cn_suno_cn_005005_1,1,ACE-Step,development,muse:suno_cn_005005,component_000058,30,48000,164f0f288df7f72338415858741a648d51491d61839a427fdab4c1b8dc71dcfa
ai_acestep_muse_cn_suno_cn_005164_1,1,ACE-Step,development,muse:suno_cn_005164,component_000059,30,48000,48e65f51dab369ca6d6a1cee096bd08a6840575ae52a4a1bfe91abf034d472ca
ai_acestep_muse_cn_suno_cn_005322_1,1,ACE-Step,development,muse:suno_cn_005322,component_000060,30,48000,49c8413beb090dffcc71126e235992f03b3ac53973084943d102ab90c3e986ab
ai_acestep_muse_cn_suno_cn_005324_0,1,ACE-Step,development,muse:suno_cn_005324,component_000061,30,48000,3040c28c9069a9b0ff41dfcb078787bcafdcd743470026e07e29c75b1ea3f134
ai_acestep_muse_cn_suno_cn_005351_0,1,ACE-Step,development,muse:suno_cn_005351,component_000062,30,48000,5ab6f4a65eeb23e21716a3d506edd74bc6cd7e17e5d69102c0104a0438a79b9f
ai_acestep_muse_cn_suno_cn_005459_0,1,ACE-Step,development,muse:suno_cn_005459,component_000064,30,48000,bb778504ef0d1f8c58ad8de4ac57fe3b151384a358aa78f26c34939e1fe5b6a5
ai_acestep_muse_cn_suno_cn_005537_1,1,ACE-Step,development,muse:suno_cn_005537,component_000065,30,48000,65b40053eb64d0faf6401301bcfd6191ac82d1ba6f4efa73e4502251e59d6de5
ai_acestep_muse_cn_suno_cn_005597_1,1,ACE-Step,development,muse:suno_cn_005597,component_000066,30,48000,028c35432bbbe74de3ebdf8228e793dd1167f02941be21cb7f867a9c083cb70e
ai_acestep_muse_cn_suno_cn_005832_0,1,ACE-Step,development,muse:suno_cn_005832,component_000067,30,48000,c6ec9bb46eeae564ef85b93a2503edce552a91b539684c455ca99d0d53b5e37e
ai_acestep_muse_cn_suno_cn_005841_1,1,ACE-Step,development,muse:suno_cn_005841,component_000068,30,48000,7b8391b3d33c443781cc37a9bf66004194e92d733c0e11089cf4496633e24b60
ai_acestep_muse_cn_suno_cn_005844_0,1,ACE-Step,development,muse:suno_cn_005844,component_000069,30,48000,27786869ed9631e638a0fb6f709ff07b971213c8a2e6de34db3a4ec8ba64b752
ai_acestep_muse_cn_suno_cn_005879_0,1,ACE-Step,development,muse:suno_cn_005879,component_000070,30,48000,76430bb9111dd95c93b100d60ed6aaaca4758306853352c26a49c9e8674088e0
ai_acestep_muse_cn_suno_cn_006023_1,1,ACE-Step,development,muse:suno_cn_006023,component_000072,30,48000,8639e9b5cae7751aacf541371dfec97ca22fc466a83ba61f8ed5fadbbb07e5c6
ai_acestep_muse_cn_suno_cn_006047_0,1,ACE-Step,development,muse:suno_cn_006047,component_000073,30,48000,725ecc299fc2e4a4a08c9f7bdb72cc2161c3ee3d3d789e75f563576550ba1f9d
ai_acestep_muse_cn_suno_cn_006115_0,1,ACE-Step,development,muse:suno_cn_006115,component_000074,30,48000,a9a9f4ed343a03eb91afb2e988f581b0c48cdfd075e0dacecfafe196986859a0
ai_acestep_muse_cn_suno_cn_006140_0,1,ACE-Step,development,muse:suno_cn_006140,component_000075,30,48000,2ea4e55e37e072793e101c5c1fe83478cffd0905881bb4ea9b8db6108524173d
ai_acestep_muse_cn_suno_cn_006142_0,1,ACE-Step,development,muse:suno_cn_006142,component_000076,30,48000,3446b692ff0b8148395de9eaa4e477aaea0d98e77cfb5fa03e609448c57312e3
ai_acestep_muse_cn_suno_cn_006204_1,1,ACE-Step,development,muse:suno_cn_006204,component_000077,30,48000,6dde7608bcbaa74027666c623f0887dfef1f5f2d474b3588c488f5433aaac5ee
ai_acestep_muse_cn_suno_cn_006375_0,1,ACE-Step,development,muse:suno_cn_006375,component_000078,30,48000,c182f8162d58c0e253a03fa92684ba89cf22d5906fb9b2aa7166988245faf713
ai_acestep_muse_cn_suno_cn_006670_1,1,ACE-Step,development,muse:suno_cn_006670,component_000079,30,48000,260c00002b953a200c1a7d9e30404fcb9a1a96e986c0557d6a08db11855ab9dd
ai_acestep_muse_cn_suno_cn_006851_1,1,ACE-Step,development,muse:suno_cn_006851,component_000080,30,48000,1006dc21d14ad0d939ec54c69711242e012f11580d2d85975fdbc727a957dd93
ai_acestep_muse_cn_suno_cn_007242_0,1,ACE-Step,development,muse:suno_cn_007242,component_000082,30,48000,a102260b7730018c69fed6bb75e0f4f967db2a02f5afb5b57c88517e03db11bd
ai_acestep_muse_cn_suno_cn_007250_1,1,ACE-Step,development,muse:suno_cn_007250,component_000083,30,48000,aaf10e6d39a0e1a7e4ea711e9b72281f513933a991d89fc2fd4e4e6219ae7046
ai_acestep_muse_cn_suno_cn_007265_1,1,ACE-Step,development,muse:suno_cn_007265,component_000084,30,48000,66e3f629dcd15eb2212d6c8f18a00a8b576c3e6572d84d589f991e1c82891ba5
ai_acestep_muse_cn_suno_cn_007401_1,1,ACE-Step,development,muse:suno_cn_007401,component_000085,30,48000,5e4a8b4ec61ff10dc39d56fc523209a1cce33d53a22ec5924dbe746693d879fc
ai_acestep_muse_cn_suno_cn_007990_0,1,ACE-Step,development,muse:suno_cn_007990,component_000088,30,48000,5332761f7a546f4a90a7e769fd35f94cc528ceeff934a73febb33810af71e23b
ai_acestep_muse_cn_suno_cn_008405_1,1,ACE-Step,development,muse:suno_cn_008405,component_000091,30,48000,2b09ab8e4275b591fe887037d2ede01fda3a36423b1359b8f274d30ede1d004c
ai_acestep_muse_cn_suno_cn_008426_0,1,ACE-Step,development,muse:suno_cn_008426,component_000092,30,48000,4de536ed42b2bad257003b733b968aa2c0982e2cc94e5c44cc8ef6dc6007b1bd
ai_acestep_muse_cn_suno_cn_008528_0,1,ACE-Step,development,muse:suno_cn_008528,component_000093,30,48000,72905c27aaa639f351dd0452bf94c219f881f6d3ccfdff8cfe54e8552e572f1f
ai_acestep_muse_cn_suno_cn_008555_0,1,ACE-Step,development,muse:suno_cn_008555,component_000094,30,48000,775422ee3be8edd06aac09155b16ca0c35a2d696ac74cd7d482eef7e0dbbdf3d
ai_acestep_muse_cn_suno_cn_008777_0,1,ACE-Step,development,muse:suno_cn_008777,component_000096,30,48000,0ec9779eb7e3a9d6f9912bab04f3d8b95b2b9bcc651d55ae78e54d4edd3d4066
ai_acestep_muse_cn_suno_cn_009034_0,1,ACE-Step,development,muse:suno_cn_009034,component_000099,30,48000,87755fc5265b7a33917235d8d0d52ffa55a31054c49cd3e28041ba14fe883359
ai_acestep_muse_cn_suno_cn_009181_0,1,ACE-Step,development,muse:suno_cn_009181,component_000100,30,48000,d67d6971b51b3ce07a73f5f068f8d66ffcc4094980231accee990293fdc56c26
ai_acestep_muse_cn_suno_cn_009437_0,1,ACE-Step,development,muse:suno_cn_009437,component_000101,30,48000,5cd8d42732eba43b39f5f0a9fb4f5fc8655de2f1db4c8fc815cb481b15236106
ai_acestep_muse_cn_suno_cn_009521_0,1,ACE-Step,development,muse:suno_cn_009521,component_000102,30,48000,0686af11a5f8f352b53e2ed4ec41d2fd737f0ac04a56d800a041695293d1af30
ai_acestep_muse_cn_suno_cn_009697_0,1,ACE-Step,development,muse:suno_cn_009697,component_000103,30,48000,c47ee3818198973760e52a2a628d5d410c397f2a5e6ccf0860b9a7f01140ffaf
ai_acestep_muse_cn_suno_cn_009859_0,1,ACE-Step,development,muse:suno_cn_009859,component_000104,30,48000,5ca745d53e0af3250c845eefa2ae7a0dd654b12949f6106be0f8a0fcd1c79887
ai_acestep_muse_cn_suno_cn_010060_0,1,ACE-Step,development,muse:suno_cn_010060,component_000105,30,48000,c230c9db22f334ba59661e1ceaf50f6469dc5b130b170bbeb4d03fd4c9ab99c6
ai_acestep_muse_cn_suno_cn_010120_1,1,ACE-Step,development,muse:suno_cn_010120,component_000106,30,48000,ac20a00770765525c989109677b36a3d3e02cea712121ce8d002f6aaed9db382
ai_acestep_muse_cn_suno_cn_010422_0,1,ACE-Step,development,muse:suno_cn_010422,component_000108,30,48000,49a49c05794a6bf3ca0b6c55d7ddcbacf2d382f070af24c1860f6babe902c057
ai_acestep_muse_cn_suno_cn_010426_1,1,ACE-Step,development,muse:suno_cn_010426,component_000109,30,48000,54b1698472130a903f7b68cd98f4c5b5349dff16116594110e4a42fda43acc7f
ai_acestep_muse_cn_suno_cn_010468_1,1,ACE-Step,development,muse:suno_cn_010468,component_000110,30,48000,c9d3b1da18e3d79c7b6844b26bf94c9da0672536e27362b78a89fb03bf201ba1
ai_acestep_muse_cn_suno_cn_010720_0,1,ACE-Step,development,muse:suno_cn_010720,component_000111,30,48000,b6e60df3f270a3dff4f3b82dbe43d089a8df8de180667e96ffc14c7e1143ad2b
ai_acestep_muse_cn_suno_cn_010769_0,1,ACE-Step,development,muse:suno_cn_010769,component_000112,30,48000,06129f4ab4647f7e8140231dd38674b56499bd712ddcd8a83ad05239faf4f77e
ai_acestep_muse_cn_suno_cn_010854_0,1,ACE-Step,development,muse:suno_cn_010854,component_000113,30,48000,e47661724f4d9acb0dd140c116be764ab6a6531ecd5bf1f64ab12508eef28688
ai_acestep_muse_cn_suno_cn_010922_0,1,ACE-Step,development,muse:suno_cn_010922,component_000114,30,48000,13e0ca64e3d8f4f051a5ba877dfa5bfb4e7acd79c987bb830fbb314fe1007080
ai_acestep_muse_cn_suno_cn_010968_1,1,ACE-Step,development,muse:suno_cn_010968,component_000115,30,48000,d0f95e35c8bdc6ebb41ed34712b4385a4b5590310ae0b349defc7162ad511e15
ai_acestep_muse_cn_suno_cn_010976_1,1,ACE-Step,development,muse:suno_cn_010976,component_000116,30,48000,81d41685b36a80a8e3a5b9781ed1a51e361da4faae588eee518fc6a68194432f
ai_acestep_muse_cn_suno_cn_011062_1,1,ACE-Step,development,muse:suno_cn_011062,component_000117,30,48000,0104b8dcd85494653ac5c02e361f99ffa3b64f7233b6291b8680e959407bd201
ai_acestep_muse_cn_suno_cn_011091_0,1,ACE-Step,development,muse:suno_cn_011091,component_000118,30,48000,1e8d6c70a5ffe1f9f14148c14e8587b84a7340c7ae0c77e3fe81336095a52831
ai_acestep_muse_cn_suno_cn_011204_1,1,ACE-Step,development,muse:suno_cn_011204,component_000120,30,48000,fef888d7a21c0edd7f675a2c3ccc3b194222b46bf7376d4566cb9c0188900e20
ai_acestep_muse_cn_suno_cn_011565_0,1,ACE-Step,development,muse:suno_cn_011565,component_000123,30,48000,d79979f1d01fafbc62c81a0143bfdf4d210647680c1ee31e5cb23143ea04d97b
ai_acestep_muse_cn_suno_cn_011610_0,1,ACE-Step,development,muse:suno_cn_011610,component_000124,30,48000,f6006b489a86b0ae20b19ec329a06e6e330b2a90bfa1641fe7a198992d3b28c8
ai_acestep_muse_cn_suno_cn_011638_1,1,ACE-Step,development,muse:suno_cn_011638,component_000125,30,48000,6faf340230a758e9808816bbdbecd1df23a07d0711d38aa54f9a9a5415d31d37
ai_acestep_muse_cn_suno_cn_011869_0,1,ACE-Step,development,muse:suno_cn_011869,component_000127,30,48000,57cd415b09a8c064cc5f66764def84698e60298d3ec9d18b45e1015edb93ef6e
ai_acestep_muse_cn_suno_cn_012107_1,1,ACE-Step,development,muse:suno_cn_012107,component_000129,30,48000,0d7d8d1fb65112b3d2de3e4a6e6d31f99ace676694e149c129a12787888978c8
ai_acestep_muse_cn_suno_cn_012177_0,1,ACE-Step,development,muse:suno_cn_012177,component_000130,30,48000,a9d4aef182cc6fbc821fee658815b46f6430fcc01f23cea001e6b2a4ebf26c09
ai_acestep_muse_cn_suno_cn_012498_0,1,ACE-Step,development,muse:suno_cn_012498,component_000132,30,48000,e1c489a720501ee14d51992e189bf9fea2eb664d7cd29fdd0e33731eb7b1e7b3
ai_acestep_muse_cn_suno_cn_012705_0,1,ACE-Step,development,muse:suno_cn_012705,component_000134,30,48000,8d3e88763c6e0aecb233be99a018ad2afc146c4be7126be9c85bef5fbe09296d
ai_acestep_muse_cn_suno_cn_012899_1,1,ACE-Step,development,muse:suno_cn_012899,component_000135,30,48000,b40d6e1a099157b05c4bb6be72215b43b22c63a66b936d42d9c3541771907bde
ai_acestep_muse_cn_suno_cn_012967_1,1,ACE-Step,development,muse:suno_cn_012967,component_000136,30,48000,15ad2b1bb14d020802f20d699b366d4dd9b7f81651dffb0b7eeb4ee99e9bd63a
ai_acestep_muse_cn_suno_cn_013167_0,1,ACE-Step,development,muse:suno_cn_013167,component_000137,30,48000,e02643b77d775844aae869a19e7aaf44a675f559876071d9d040dbe673e14827
ai_acestep_muse_cn_suno_cn_013206_0,1,ACE-Step,development,muse:suno_cn_013206,component_000138,30,48000,c60e2018d84c67ca797fb5b86590649308bd3fa9d1077139e4d0a57c40caf8b7
ai_acestep_muse_cn_suno_cn_013209_1,1,ACE-Step,development,muse:suno_cn_013209,component_000139,30,48000,1177c90cef868039bc609413286bcb7f5fe9b4cbc5ecefd866a34259a1ce4f92
ai_acestep_muse_cn_suno_cn_013771_1,1,ACE-Step,development,muse:suno_cn_013771,component_000143,30,48000,3cbce509695e5064193fe7fef6de442de1425b8b53935a093b2a9623b97b224d
ai_acestep_muse_cn_suno_cn_013851_1,1,ACE-Step,development,muse:suno_cn_013851,component_000144,30,48000,60420c28440766a4e4d1751fe2fe72c84c15ae88090832e5baa9929a4f5f39dd
ai_acestep_muse_cn_suno_cn_014378_1,1,ACE-Step,development,muse:suno_cn_014378,component_000146,30,48000,5f17d3bc92bc025f900115557a7669d34fda887998dcb8ea67b30581c4a5d425
ai_acestep_muse_cn_suno_cn_014516_1,1,ACE-Step,development,muse:suno_cn_014516,component_000148,30,48000,46202bade1de08cf1a42cb2b430e8a39abd1d1a4f1119fbfcbe8ae2a80fd39c7
ai_acestep_muse_cn_suno_cn_014692_0,1,ACE-Step,development,muse:suno_cn_014692,component_000149,30,48000,e23daf93a1cf3e6b5b3322e3e3451be9d8b4132a860425596f5173af69f173dd
ai_acestep_muse_cn_suno_cn_014722_0,1,ACE-Step,development,muse:suno_cn_014722,component_000150,30,48000,2a991e730b6cc01be945534e679c6aa537a1da752c694d638122e85365ed8b25
ai_acestep_muse_cn_suno_cn_014780_1,1,ACE-Step,development,muse:suno_cn_014780,component_000151,30,48000,f97ceede785e393eefbb51848aeb424e14d04616f4d38152e330e485e9f5b78e
ai_acestep_muse_cn_suno_cn_014976_0,1,ACE-Step,development,muse:suno_cn_014976,component_000153,30,48000,ea899d543a04fa687dec0bbe91a35fafb99f98c48b52552c5b079adb0f0d7aa3
ai_acestep_muse_cn_suno_cn_015187_1,1,ACE-Step,development,muse:suno_cn_015187,component_000155,30,48000,137f961a20b8556bfe6ed2f11155d3d30817b992f558f689acc44ec9a55b5e77
ai_acestep_muse_cn_suno_cn_015622_0,1,ACE-Step,development,muse:suno_cn_015622,component_000156,30,48000,37356e621dcd100695c56e94329b5c74b19ecc7945881b5fda8d2211ed23d7bd
ai_acestep_muse_cn_suno_cn_015652_0,1,ACE-Step,development,muse:suno_cn_015652,component_000157,30,48000,0a9c95653730ecfdb0c171c85f9c30d3146947c0314ade7c8fd38054ff25125f
ai_acestep_muse_cn_suno_cn_015840_1,1,ACE-Step,development,muse:suno_cn_015840,component_000158,30,48000,ae45da4bdb1c721b6fd20820870e4e68f589628ed13d01eed4da63e70fad6f68
ai_acestep_muse_cn_suno_cn_015869_0,1,ACE-Step,development,muse:suno_cn_015869,component_000159,30,48000,f2a44aec583da314123992e8e779d9b7d8aec451e7ae90809e0d9591953425c7
ai_acestep_muse_cn_suno_cn_015906_0,1,ACE-Step,development,muse:suno_cn_015906,component_000160,30,48000,b5a1053dc3e033b1975369f31abf6d5f289baacf7865e3387c77d7cec6a13b3c
ai_acestep_muse_cn_suno_cn_016011_0,1,ACE-Step,development,muse:suno_cn_016011,component_000161,30,48000,8ff49398f33e79677e22dc214d667a76d89c80ca3d5079f1643af5d95c03f7a0
ai_acestep_muse_cn_suno_cn_016186_1,1,ACE-Step,development,muse:suno_cn_016186,component_000162,30,48000,6feb58b96148093801d9fa82d7b243c56f3d78cfa0b9dc2e3d09072b1a12d11a
ai_acestep_muse_cn_suno_cn_016201_1,1,ACE-Step,development,muse:suno_cn_016201,component_000163,30,48000,4239463133bca0441b5ffe8a6f69390d43a3887d31edb375b68af4a6151eb3dd
ai_acestep_muse_cn_suno_cn_016541_1,1,ACE-Step,development,muse:suno_cn_016541,component_000164,30,48000,b20aa115f5f2607705084480e83317a7ef4cb69e25f4112e22eb31f854c0b296
ai_acestep_muse_cn_suno_cn_016564_1,1,ACE-Step,development,muse:suno_cn_016564,component_000165,30,48000,31394e09ee7cba3989c190cb866be9885757bc10bd9e95925044118ef510ad43
ai_acestep_muse_cn_suno_cn_017217_1,1,ACE-Step,development,muse:suno_cn_017217,component_000167,30,48000,51b611166b6857ed23f1ed8ba47a9ac6065f8f71eeba9e22b3ef36cd39cd74d0
ai_acestep_muse_cn_suno_cn_017343_0,1,ACE-Step,development,muse:suno_cn_017343,component_000170,30,48000,e86949c2d6b6cbfd2f8670caaaa4d151cde3e3aa85e88af56cbc0449726c438e
ai_acestep_muse_cn_suno_cn_017373_0,1,ACE-Step,development,muse:suno_cn_017373,component_000171,30,48000,617ebbb83d6158c688094b8cb84c5640f27b8bff7000f332e3d4abb5ba8e5bec
ai_acestep_muse_cn_suno_cn_017486_0,1,ACE-Step,development,muse:suno_cn_017486,component_000172,30,48000,4265ca9944290a6016a407f6b498d9121bf935b2f65cbaf2543cdaf5690cdcbf
ai_acestep_muse_cn_suno_cn_017531_0,1,ACE-Step,development,muse:suno_cn_017531,component_000173,30,48000,3a748a107e23ecde3882ff30de402dda85e1eeb81234f8fa0589bff11944ba25
ai_acestep_muse_cn_suno_cn_017645_1,1,ACE-Step,development,muse:suno_cn_017645,component_000175,30,48000,c6f5af3c67b9fd02120205aa732e91644d7c0ab646bc89f72dfcb393c7351515
